"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FKKGDJSQ","book","1987","Ölçer, Cüneyt","Sultan Mehmed Reşad ve Sultan Mehmed Vahdeddin Dönemi Osmanlı Madeni Paraları [Ottoman Coins of the Reigns of Sultan Mehmed Reşad and Sultan Mehmed Vahdeddin]","","","","","","","1987","2024-10-10 12:36:53","2025-03-09 12:56:29","","","","","","","","","","","","","Yenilik Basımevi","İstanbul","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RV2E3WYN","book","1989","Ölçer, Cüneyt","Osmanlı Bankası Aracılığı ile Yapılan Osmanlı Devleti Borç Anlaşmaları [Ottoman Debt Agreements Conducted via the Ottoman Bank]","","","","","","","1989","2024-10-10 12:29:46","2025-03-09 12:55:58","","","","","","","","","","","","","Yenilik Basımevi","İstanbul","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"962GSS85","book","1973","Ölçer, Cüneyt","50 Yılın Türk Kağıt Paraları (1923-1973) [Fifty Years of Turkish Banknotes (1923-1973)]","","","","","","","1973","2024-10-10 12:16:20","2025-03-09 12:59:16","","","","","","","","","","","","","Türkiye İş Bankası Yayınları","Ankara","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XBS2XUVA","journalArticle","1990","","Numismat (Parabilimci) Cüneyt Ölçer (1925-1990) [Cüneyt Ölçer, the Numismat (1925-1990)]","Tarih ve Toplum","","","","","","1990","2024-10-10 12:06:55","2025-03-09 12:50:43","","168","","","13","","","","","","","","","","Modern Turkish","","","http://ktp.isam.org.tr/pdfdkm/15/DKMG153031.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DL5N8YF8","thesis","1960","Gülten, Kazgan","Türkiye Ziraatında Arz Fonksiyonuna Dair Bir Tetkik (1927-1957)","","","","","","","1960","2024-10-02 08:13:14","2024-10-08 18:43:34","","","164","","","","","","","","","","","İstanbul","Modern Turkish","","Doçentlik Tezi [Habilitation Thesis]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GH9DGVMQ","book","2009","Halil, İnalcık","Osmanlı İmparatorluğu Toplum ve Ekonomi","","","","","","","2009","2024-10-02 09:29:25","2024-10-02 09:29:57","","","466","","","","","","","","","","İstanbul Eren Yayıncılık","İstanbul","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QHRUR5V8","book","1970","Gülten, Kazgan","100 Soruda Ortak Pazar ve Türkiye","","","","","","","1970","2024-10-02 08:05:26","2025-02-22 13:53:26","","","","","","","","","","","","","Gerçek Yayınevi","İstanbul","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HRNC4ISK","book","","Erlat, Güzin","İktisadi Birleşmelerin Dış Ticarete Etkileri Üzerine Bir Deneme","","","","","","","Unknown","2024-09-30 11:26:44","2025-02-22 14:25:29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QSD2VCS9","journalArticle","2012","İnce, Mustafa","A Biography of Hüseyin Şükrü Baban: Diplomat, Academic, and Journalist","International Journal of Turcologia","","","","","","2012","2024-09-29 11:30:39","2024-09-29 11:32:19","","105-112","","14","7","","","","","","","","","","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GQF2GWZP","book","1956","Baban, Şükrü","İktisad İlminin Umumi Prensipleri","","","","","","","1956","2024-09-29 11:29:25","2024-09-29 11:30:05","","","","","","","","","","","","","Sermet Matbaası","İstanbul","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EFWHPLNK","book","1941","Baban, Şükrü","Tatbiki İktisad","","","","","","","1941","2024-09-29 11:28:17","2024-09-29 11:28:50","","","","","","","","","","","","","Arkadaş Basımevi","İstanbul","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QBLWPCUN","book","1940","Baban, Şükrü","Tanzimat ve Para","","","","","","","1940","2024-09-29 11:27:29","2024-09-29 11:28:00","","","","","","","","","","","","","Maarif Basımevi","İstanbul","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DLR2D87F","book","1940","Baban, Şükrü","Paranın Mahiyeti","","","","","","","1940","2024-09-29 11:26:44","2024-09-29 11:27:19","","","","","","","","","","","","","Yeni Cevaevi Basımevi","Ankara","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FLUCAHAE","book","1939","Baban, Şükrü","Kıymet Mefhumu","","","","","","","1939","2024-09-29 11:25:52","2025-02-19 12:39:27","","","","","","","","","","","","","Kenan Basımevi","İstanbul","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGN8KFWY","book","1934","Baban, Şükrü","İktisad (Nazari Kısım)","","","","","","","1934","2024-09-29 11:24:50","2024-09-29 11:25:40","","","","","","","","","","","","","Selamet Basımevi","İstanbul","Modern Turkish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
