id,date,type,explanation,references
timelineID1,1803,Publication,Mehmed Emin Behiç. Sevânihü’l-Levâyih [Allowances and Regulations]. xxx,Yalçıntaş et al. (2022-2025).
timelineID2,1829,Publication,"Charles Colville Frankland. Travels to and from Constantinople, in the Years 1827 and 1828. This was one of the first orientalist texts on the Ottoman Empire in the nineteenth century.",Yalçıntaş et al. (2022-2025).
timelineID3,1830s,Publication,Risale-i Tedbir-i Umran-ı Mülki [Booklet of Administration of Public Prosperity]. One of the first economics texts was published in Turkish. Its author has been unknown.,"Ortaylı (1983), Kılınçoğlu (2018)."
timelineID4,1831,Institution,Heybeliada Greek School of Trade (Ellinoemboriki Sholi Tis Halkis) was founded in İstanbul. This was one of the first schools where economic courses were offered.,
timelineID5,1840s,Institution,"Sarantis Archigenes taught economics courses at Mekteb-i Tıbbiye. The textbook he used was entitled Tasarrufat-ı Mülkiye, a Turkish translation of Pellegrino Rossi’s Cours d’economie politique (1840).","Emiroğlu (2021a), Özgür and Genç (2011, 2014), Genç ve Özgür (2011)."
timelineID6,1846,Publication,Darülfünun-u Şahane was founded. This institution was intended to offer university level courses.,
timelineID7,1852,Publication,"Jean Baptiste Say. İlm-i Tedbir-i Menzil [The Science of the Administration of Home/Household, Turkish translation of Jean Baptiste Say’s Catechisme d’economie politique, 1815)]. This was the first classical political economy text translated into Turkish.",Yalçıntaş et al. (2022-2025).
timelineID8,1857,Publication,"Ceride-i Ticaret [Chronicle of Trade], the first economic periodical, was founded. Many of the articles were published without an author. It was shut down in 1858.",Demir (2014).
timelineID9,1857,Institution,Aroni Ticaret Mektebi [Aroni Trade School] was founded in İzmir. This was one of the first schools in the Anatolian Ottoman Empire where economic courses were offered.,
timelineID10,1859,Institution,"Mekteb-i Mülkiye was founded in İstanbul. Mülkiye was one the first social sciences institutions in the Ottoman Empire. Today, it is part of Ankara University. A course on political economy, entitled “İstihsal-i Servet-ü Yesar-i Mülkü Tebaa [Production of the Wealth of the Nation and Its Subjects],” was taught by Emin Efendi (AKA Emil Efendi).
Turrel Trade School was founded in İzmir.",Baskıcı (2009).
timelineID11,1859,Publication,"Nassau William Senior. A Journal Kept in Turkey and Greece in the Autumn of 1857, and the Beginning of 1858. One of the most important orientalist texts on the Ottoman economy in the nineteenth century.",Yalçıntaş et al. (2022-2025).
timelineID12,1860,Publication,Charles Wells. İlm-i Tedbir-i Milk [The Science of the Administration of the State]. The first non-translated economics textbook in Turkish. The book was published in London.,Tütengil (1965).
timelineID13,1860,Event,Renieri Hususi Mektebi was founded in İzmir.,
timelineID14,1861,Publication,Mehmed Şerif. İlm-i Emval-i Mülkiye [The Science of National Wealth]. The first non-translated economics textbook in Turkish published by a Muslim author.,Berkes (1972).
timelineID15,1863,Publication,"Mehmed Şerif Efendi was one of the first authors who published “scientific” articles in the periodical called Tercüman-ı Ahval [xxx]. Among his publications were “Sanayi ve Ziraattan Hangisinin Hakkımızda Hayırlı Olduğuna Dairdir [xxx]”, “Ekonomi Politik İlminin Tarikiyle Hudud-ı Tabiyesinin Tahdidi Beyanındadır [xxx]”, “Bankaların Envaı ile Tabiatlarına Dair [xxx]” and “İtibarı Umum-i Ticarete Dair [xxx].”.",Demir (2014 and 2019)
timelineID16,1871,Event,Robert College was founded.,Kaya Erman and Yalçıntaş (2020).
timelineID17,1876,Event,The First Constitutional Era in the Ottoman Empire.,Yalçıntaş et al. (2022-2025).
timelineID18,1877,Publication,Among the courses on political economy offered at Mekteb-i Mülkiye were “İlm-i Servet [The Science of Wealth]” and “Usul-i Maliye ve Varidat ve Tekalif [Principles of Public Finance and Taxation].”,
timelineID19,1878,Institution,Mekteb-i Fünun-u Maliye [The School of the Science of Finance] was founded in İstanbul.,
timelineID20,1978,Institution,Mustafa Zühtü İnhan was appointed as a lecturer at Darülfünun.,Tok and Eren (2023).
timelineID21,1900,Publication,"Mehmed Cavid Bey. İlmi İktisat [Economic Science]. This was one of the first monographs in Turkish that used ""iktisat"" (economics) in the title.",Emiroğlu (2021b).
timelineID22,1906,Event,"Selanik Ticaret Mektebi [Thessaloniki Trade School] was founded in Thessaloniki.
İttihat ve Terakki İzmir Merkez Ticaret Mektebi [Unity and Progress School of Trade in Central İzmir] was founded in İzmir.",
timelineID23,1908,Event,The Second Constitutional Era in the Ottoman Empire.,Yalçıntaş et al. (2022-2025).
timelineID24,1902,Publication,"Sosyalist Meslekleri, Turkish translation of Vilfredo Pareto's Les systèmes socialistes, 1902.",Yalçıntaş (2023).
timelineID25,1902,Event,Yadigar-i Terakki Ticaret Mektebi was founded in Thessaloniki.,
timelineID26,1910,Publication,"Parvus Efendi. Der Staat, die Industrie und der Sozialismus. This was the first book published by an Ottoman national (tebaa) in a foreign language.",Yalçıntaş et al. (2022-2025).
timelineID27,1912,Institution,"The Department of Finance (kısm-i mali) was founded at Mülkiye.
A course on political economy, entitled “İlm-i İktisat [The Science of Economics]” was taught at Darulfünun.
İktisat-ı İçtimai, an incomplete translation of Karl Marx’s Das Kapital, 1867.","Hoffman (1919, 1919 [2023]), Baskıcı (2009), 
Eren (2023b), Fındıkoğlu (1946: xxx)."
timelineID28,1914,Publication,"“Mesaliki İktisadiye,” the first course on the history of economic thought by Friedrich Hoffman and Münir Bey.",Fındıkoğlu (1946: 53).
timelineID29,1915,Institution,Mekteb-i Mülkiye was shut down due to the First World War.,Baskıcı (2009).
timelineID30,1914-1918,Institution,Friedrich Hoffman and Anton Fleck were two of the first foreign lecturers officially invited to the Ottoman Empire to teach economics (1916-1918). Hoffman was the first economics professor with a PhD degree in Turkey.,"Fındıkoğlu (1946: 54), Eren (2023a, 2023b)."
timelineID31,1917,Publication,The Soviet Revolution.,Yalçıntaş et al. (2022-2025).
timelineID32,1917,Institution,The Department of Government and Finance (idari ve mali şube) was founded at Darülfünun.,Eren (2023b).
timelineID33,1918,Publication,Mekteb-i Mülkiye was reopened.,Baskıcı (2009).
timelineID34,1919,Institution,A doctoral program at Darülfünun in İstanbul began. It lasted until 1933 when Darülfünun was shut down in the republican period.,Partalcı (2014).
